2016-11-15 14:39:52 - PHP Notice:  Undefined variable: key in D:\Development\WebServers\OpenServer\domains\opencart-x.com\system\library\request.php on line 46
2016-11-15 23:00:42 - PHP Notice:  Error: Could not load template E:/OpenServer/domains/opencart-x.com/admin/view/template/default/template/common/header.tpl! in E:\OpenServer\domains\opencart-x.com\system\storage\modification\system\engine\loader.php on line 86
2016-11-16 23:37:21 - PHP Warning:  Invalid argument supplied for foreach() in E:\OpenServer\domains\opencart-x.com\catalog\view\theme\default\template\product\category.tpl on line 4
2016-11-28 15:03:31 - PHP Notice:  Undefined variable: conditions_sql in D:\Development\WebServers\OpenServer\domains\opencart-x.com\system\library\db\QueryBuilder\Operations\Select.php on line 27
2016-11-28 15:04:04 - PHP Notice:  Undefined variable: result in D:\Development\WebServers\OpenServer\domains\opencart-x.com\catalog\controller\common\home.php on line 9
2016-11-28 15:05:07 - PHP Notice:  Error: Unknown column 'oc_product.product_id' in 'where clause'<br />Error No: 1054<br />SELECT * FROM `oc_product` WHERE (`oc_product.product_id`='28') in D:\Development\WebServers\OpenServer\domains\opencart-x.com\system\library\db\mysqli.php on line 41
2016-11-28 15:05:07 - PHP Notice:  Trying to get property of non-object in D:\Development\WebServers\OpenServer\domains\opencart-x.com\system\library\db\QueryBuilder\Operations\Select.php on line 34
2016-11-28 15:07:20 - PHP Notice:  Error: Unknown column 'oc_product.product_id' in 'where clause'<br />Error No: 1054<br />SELECT * FROM `oc_product` WHERE (`oc_product.product_id`='28') in D:\Development\WebServers\OpenServer\domains\opencart-x.com\system\library\db\mysqli.php on line 41
2016-11-28 15:07:20 - PHP Notice:  Trying to get property of non-object in D:\Development\WebServers\OpenServer\domains\opencart-x.com\system\library\db\QueryBuilder\Operations\Select.php on line 34
2016-11-28 15:07:36 - PHP Notice:  Error: Unknown column 'oc_product.product_id' in 'where clause'<br />Error No: 1054<br />SELECT * FROM `oc_product` WHERE (`oc_product.product_id`='28') in D:\Development\WebServers\OpenServer\domains\opencart-x.com\system\library\db\mysqli.php on line 41
2016-11-28 15:07:36 - PHP Notice:  Trying to get property of non-object in D:\Development\WebServers\OpenServer\domains\opencart-x.com\system\library\db\QueryBuilder\Operations\Select.php on line 34
2016-11-28 15:14:06 - PHP Notice:  Error: Unknown column 'product.product_id' in 'where clause'<br />Error No: 1054<br />SELECT * FROM `oc_product` WHERE (`product`.`product_id`='28') in D:\Development\WebServers\OpenServer\domains\opencart-x.com\system\library\db\mysqli.php on line 41
2016-11-28 15:14:06 - PHP Notice:  Trying to get property of non-object in D:\Development\WebServers\OpenServer\domains\opencart-x.com\system\library\db\QueryBuilder\Operations\Select.php on line 36
2016-11-28 15:22:28 - PHP Unknown:  Object of class db\QueryBuilder\Query could not be converted to string in D:\Development\WebServers\OpenServer\domains\opencart-x.com\system\library\db\QueryBuilder\Common\Conditions.php on line 22
2016-11-28 15:22:28 - PHP Unknown:  Object of class db\QueryBuilder\Query could not be converted to string in D:\Development\WebServers\OpenServer\domains\opencart-x.com\system\library\db\QueryBuilder\Common\Conditions.php on line 22
2016-11-28 15:22:28 - PHP Notice:  Error: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near ')' at line 1<br />Error No: 1064<br />SELECT * FROM `oc_product` WHERE (`oc_product`.`product_id`='28') AND (`oc_product`.`product_id`<'29') AND () in D:\Development\WebServers\OpenServer\domains\opencart-x.com\system\library\db\mysqli.php on line 41
2016-11-28 15:22:28 - PHP Notice:  Trying to get property of non-object in D:\Development\WebServers\OpenServer\domains\opencart-x.com\system\library\db\QueryBuilder\Operations\Select.php on line 36
2016-11-28 15:23:53 - PHP Unknown:  Object of class db\QueryBuilder\Query could not be converted to string in D:\Development\WebServers\OpenServer\domains\opencart-x.com\system\library\db\QueryBuilder\Common\Conditions.php on line 22
2016-11-28 15:23:53 - PHP Unknown:  Object of class db\QueryBuilder\Query could not be converted to string in D:\Development\WebServers\OpenServer\domains\opencart-x.com\system\library\db\QueryBuilder\Common\Conditions.php on line 22
2016-11-29 14:38:14 - PHP Notice:  Error: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'oc_product``.`product_id`='28' AND ``oc_product``.`product_id`<'29')' at line 1<br />Error No: 1064<br />SELECT * FROM `oc_product` WHERE (``oc_product``.`product_id`='28' AND ``oc_product``.`product_id`<'29') in D:\Development\WebServers\OpenServer\domains\opencart-x.com\system\library\db\mysqli.php on line 41
2016-11-29 14:38:14 - PHP Notice:  Trying to get property of non-object in D:\Development\WebServers\OpenServer\domains\opencart-x.com\system\library\db\QueryBuilder\Operations\Select.php on line 36
